pair_id,class_a,class_b,dino_l2_ia,dino_l2_ib,dino_l2_ab,dino_sum
0,8,1,43.68567657470703,41.41118621826172,58.19070053100586,85.09686279296875
1,0,6,54.15510559082031,33.87588882446289,60.5907096862793,88.0309944152832
2,6,2,40.883914947509766,63.22572326660156,66.64875793457031,104.10963821411133
3,1,5,43.4540901184082,59.1480712890625,62.14028549194336,102.6021614074707
4,5,2,33.38312530517578,52.76436233520508,58.32120132446289,86.14748764038086
5,8,9,46.724178314208984,40.49762725830078,56.73373031616211,87.22180557250977
6,2,0,45.84910583496094,40.50914001464844,56.635231018066406,86.35824584960938
7,4,2,24.135217666625977,62.939781188964844,63.05099105834961,87.07499885559082
8,6,2,48.469390869140625,45.44927215576172,63.00111770629883,93.91866302490234
9,1,5,51.31330108642578,48.21323013305664,61.925453186035156,99.52653121948242
10,6,3,48.246734619140625,47.66533279418945,59.28345489501953,95.91206741333008
11,5,4,51.672454833984375,36.454891204833984,56.741085052490234,88.12734603881836
12,1,7,49.0645637512207,53.631492614746094,57.1077880859375,102.6960563659668
13,6,3,47.460693359375,42.14657211303711,54.907840728759766,89.60726547241211
14,5,9,49.69293975830078,49.605533599853516,58.59656524658203,99.2984733581543
15,8,0,32.922203063964844,55.785865783691406,60.83977508544922,88.70806884765625
16,0,2,54.023780822753906,46.642520904541016,60.043212890625,100.66630172729492
17,1,2,53.9724235534668,54.997764587402344,64.31184387207031,108.97018814086914
18,4,9,47.06302261352539,53.88839340209961,63.76229476928711,100.951416015625
19,8,1,48.05960464477539,26.38315200805664,54.87862014770508,74.44275665283203
20,7,8,47.3457145690918,45.632057189941406,63.73593521118164,92.9777717590332
21,7,3,45.667728424072266,60.99689865112305,65.85523986816406,106.66462707519531
22,1,0,39.31954574584961,47.50687026977539,58.024105072021484,86.826416015625
23,6,9,45.94661331176758,54.78050994873047,60.811588287353516,100.72712326049805
24,4,0,51.15884017944336,48.98521041870117,65.17994689941406,100.14405059814453
25,4,2,47.28453826904297,51.86455154418945,58.52687072753906,99.14908981323242
26,0,4,39.2000732421875,36.12184143066406,51.81337356567383,75.32191467285156
27,4,2,53.143978118896484,28.602418899536133,59.325557708740234,81.74639701843262
28,7,4,45.097801208496094,37.75558090209961,55.24647903442383,82.8533821105957
29,8,4,47.262725830078125,44.19879913330078,59.322669982910156,91.4615249633789
30,9,0,56.41865921020508,39.074188232421875,62.65461730957031,95.49284744262695
31,1,5,53.77410125732422,55.661048889160156,65.80091094970703,109.43515014648438
32,9,3,59.95268249511719,53.268272399902344,66.0838623046875,113.22095489501953
33,2,9,60.088035583496094,40.57484436035156,63.73320770263672,100.66287994384766
34,9,4,43.46371078491211,43.57764434814453,56.84229278564453,87.04135513305664
35,5,1,53.238521575927734,58.14444351196289,61.559165954589844,111.38296508789062
36,9,3,45.23445510864258,46.75849151611328,60.65507888793945,91.99294662475586
37,0,4,55.89798355102539,44.32179641723633,67.45865631103516,100.21977996826172
38,6,3,48.470829010009766,45.76203155517578,59.19141387939453,94.23286056518555
39,2,5,42.914039611816406,48.88358688354492,59.72319030761719,91.79762649536133
40,4,0,38.09821319580078,57.57525634765625,63.76956558227539,95.67346954345703
41,4,2,51.17680740356445,49.25263595581055,65.93739318847656,100.429443359375
42,1,2,25.374347686767578,54.269535064697266,58.98553466796875,79.64388275146484
43,0,8,39.85194778442383,37.96036911010742,51.964229583740234,77.81231689453125
44,8,9,36.97969055175781,49.4777717590332,58.97325134277344,86.45746231079102
45,9,3,41.47114944458008,61.913333892822266,67.09500885009766,103.38448333740234
46,1,5,43.68593215942383,55.69023513793945,61.26031494140625,99.37616729736328
47,7,5,39.99522018432617,48.70848846435547,59.13514709472656,88.70370864868164
48,9,2,46.42148971557617,56.33376693725586,63.671836853027344,102.75525665283203
49,7,8,47.447044372558594,47.45634078979492,63.6800651550293,94.90338516235352
